doc_type	created_at	attempts	status	error
INVOICE	2018-12-24	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
CKYC PHOTO	2018-12-23	1	1	NULL
Invoice Photo	2018-12-23	65	0	{"ProcessedId":"1017724","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
Invoice Photo	2018-12-23	65	0	{"ProcessedId":"1017725","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
PURCHASED GOODS	2018-12-24	1	1	NULL
PURCHASED GOODS	2018-12-24	1	1	NULL
INVOICE	2018-12-24	1	1	NULL
Invoice Photo	2018-12-23	65	0	{"ProcessedId":"1017726","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
Purchased Good	2018-12-24	47	0	{"ProcessedId":"1017727","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
DELIVERY PROOF	2018-12-23	1	1	NULL
CKYC PHOTO	2018-12-23	1	1	NULL
INVOICE	2018-12-23	1	1	NULL
CKYC PHOTO	2018-12-24	1	1	NULL
PURCHASED GOODS	2018-12-24	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
DELIVERY PROOF	2018-12-23	1	1	NULL
Invoice Photo	2018-12-24	48	0	{"ProcessedId":"1017733","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
DELIVERY PROOF	2018-12-25	1	1	NULL
INVOICE	2018-12-23	1	1	NULL
INVOICE	2018-12-23	1	1	NULL
Invoice Photo	2018-12-24	48	0	{"ProcessedId":"1017739","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
PURCHASED GOODS	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
INVOICE	2018-12-25	1	1	NULL
Others	2018-12-24	1	1	NULL
Purchased Good	2018-12-24	48	0	{"ProcessedId":"1017743","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"N","isSuccess":"true","exception":null,"filenetResponse":"false"}}}
