documentType	uploadStatus	last_uploaded_at	number_of_attempts	response_error
INVOICE	0	2019-01-14 15:01:27	1	{"ProcessedId":"1449954","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:01:33	1	{"ProcessedId":"1449963","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:02:00	3	{"ProcessedId":"1450008","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:02:02	3	{"ProcessedId":"1450013","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:02:04	3	{"ProcessedId":"1450018","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:02:06	3	{"ProcessedId":"1450022","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:02:08	3	{"ProcessedId":"1450026","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:02:10	3	{"ProcessedId":"1450029","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 15:02:56	3	{"ProcessedId":"1450100","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 15:03:43	3	{"ProcessedId":"1450172","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
PURCHASED GOODS	0	2019-01-14 14:24:32	0	NULL
PURCHASED GOODS	0	2019-01-14 14:37:25	1	{"ProcessedId":"1448751","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
Proof of Identity	0	2019-01-14 14:10:22	0	NULL
Application Form Docs	0	2019-01-14 14:10:21	0	NULL
Application Form Docs	0	2019-01-14 14:10:12	0	NULL
CKYC PHOTO	0	2019-01-14 14:09:58	0	NULL
PURCHASED GOODS	0	2019-01-14 14:01:01	0	NULL
PURCHASED GOODS	0	2019-01-14 14:00:51	0	NULL
PURCHASED GOODS	0	2019-01-14 14:00:55	0	NULL
PURCHASED GOODS	0	2019-01-14 13:58:19	0	NULL
PURCHASED GOODS	0	2019-01-14 13:57:59	0	NULL
PURCHASED GOODS	0	2019-01-14 13:58:15	0	NULL
PURCHASED GOODS	0	2019-01-14 13:56:00	0	NULL
PURCHASED GOODS	0	2019-01-14 13:55:49	0	NULL
PURCHASED GOODS	0	2019-01-14 13:55:53	0	NULL
PURCHASED GOODS	0	2019-01-14 13:53:18	0	NULL
PURCHASED GOODS	0	2019-01-14 13:53:09	0	NULL
PURCHASED GOODS	0	2019-01-14 13:52:57	0	NULL
PURCHASED GOODS	0	2019-01-14 13:51:05	0	NULL
PURCHASED GOODS	0	2019-01-14 13:51:11	0	NULL
PURCHASED GOODS	0	2019-01-14 13:50:52	0	NULL
CKYC PHOTO	0	2019-01-14 13:49:59	0	NULL
CKYC PHOTO	0	2019-01-14 13:49:58	0	NULL
CKYC PHOTO	0	2019-01-14 13:47:03	0	NULL
CKYC PHOTO	0	2019-01-14 13:47:09	0	NULL
PURCHASED GOODS	0	2019-01-14 13:44:16	0	NULL
PURCHASED GOODS	0	2019-01-14 13:44:20	0	NULL
PURCHASED GOODS	0	2019-01-14 13:43:47	0	NULL
PURCHASED GOODS	0	2019-01-14 13:44:12	0	NULL
PURCHASED GOODS	0	2019-01-14 13:43:37	0	NULL
PURCHASED GOODS	0	2019-01-14 13:43:41	0	NULL
INVOICE	0	2019-01-14 13:42:49	0	NULL
PURCHASED GOODS	0	2019-01-14 13:41:57	0	NULL
INVOICE	0	2019-01-14 13:42:37	0	NULL
PURCHASED GOODS	0	2019-01-14 13:41:48	0	NULL
PURCHASED GOODS	0	2019-01-14 13:41:53	0	NULL
PURCHASED GOODS	0	2019-01-14 13:38:44	0	NULL
PURCHASED GOODS	0	2019-01-14 13:38:54	0	NULL
PURCHASED GOODS	0	2019-01-14 13:39:07	0	NULL
INVOICE	0	2019-01-14 13:41:01	0	NULL
PURCHASED GOODS	0	2019-01-14 13:37:22	0	NULL
CKYC PHOTO	0	2019-01-14 13:38:30	0	NULL
PURCHASED GOODS	0	2019-01-14 13:37:17	0	NULL
Pan Card	0	2019-01-14 13:21:50	0	NULL
Aadhar	0	2019-01-14 13:21:45	0	NULL
CKYC PHOTO	0	2019-01-14 13:19:43	0	NULL
PURCHASED GOODS	0	2019-01-14 13:08:40	0	NULL
PURCHASED GOODS	0	2019-01-14 13:08:44	0	NULL
PURCHASED GOODS	0	2019-01-14 13:08:48	0	NULL
CKYC PHOTO	0	2019-01-14 13:07:53	0	NULL
PURCHASED GOODS	0	2019-01-14 13:06:27	0	NULL
PURCHASED GOODS	0	2019-01-14 13:06:31	0	NULL
PURCHASED GOODS	0	2019-01-14 13:06:23	0	NULL
INVOICE	0	2019-01-14 14:26:29	1	{"ProcessedId":"1447967","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
INVOICE	0	2019-01-14 14:26:31	1	{"ProcessedId":"1447970","uploadDocumentResponse":{"uploadDocumentWithAccessCheckResponse":{"@xmlns:xmlns":"http:\\/\\/UCPCF\\/DmsDoctypeAccessAPI.tws","uploadPermission":"Y","isSuccess":"false","exception":null,"uploadDocumentsResponse":{"status":{"@xmlns:xmlns":"","$":"Failed"},"responseMessage":{"@xmlns:xmlns":"","$":"Exception Occured :- Property name :isOSVEnabled doesn't exists on Document Class: CF_LOANDOCUMENT."}},"filenetResponse":"false"}}}
