id	is_active	created_at	updated_at	city	state	zone
141	1	NULL	NULL	FARIDABAD	HARYANA	NORTH
142	1	NULL	NULL	TIRUPUR	TAMIL NADU	SOUTH
143	1	NULL	NULL	NAGPUR	Maharashtra	west
144	1	NULL	NULL	HOSUR	Tamil Nadu	SOUTH
145	1	NULL	NULL	HOSUR	TAMILNADU	SOUTH
146	1	NULL	NULL	BELGAUM	KARNATAKA	SOUTH
147	1	NULL	NULL	THRISSUR	KERLA	SOUTH
148	1	NULL	NULL	BATHINDA	PUNJAB	NORTH
149	1	NULL	NULL	AJMER ALLIANCE	RAJASTHAN	NORTH
150	1	NULL	NULL	Bangalore	Karnataka	SOUTH
151	1	NULL	NULL	ASANSOL	WEST BENGAL	EAST
152	1	NULL	NULL	GWALIOR FSB	MADHYA PRADESH	WEST
153	1	NULL	NULL	GWALIOR	MADHYA PRADESH	WEST
154	1	NULL	NULL	JABALPUR FSB	MADHYA PRADESH	WEST
155	1	NULL	NULL	PALAMU ALLIANCE	JHARKHAND	EAST
156	1	NULL	NULL	SITAPUR ALLIANCE	UTTAR PRADESH	NORTH
157	1	NULL	NULL	VALSAD	Gujarat	WEST
158	1	NULL	NULL	TIRUPATI	Andhra Pradesh	SOUTH
159	1	NULL	NULL	NELLORE	Andhra Pradesh	SOUTH
160	1	NULL	NULL	ERODE FSB	TAMIL NADU	SOUTH
161	1	NULL	NULL	Vijayawada	Andhra Pradesh	SOUTH
162	1	NULL	NULL	KAKINADA	ANDHRA PRADESH	SOUTH
163	1	NULL	NULL	Bangalore	Karnataka	South
164	1	NULL	NULL	Andhra Pradesh	Anantapur	South
165	1	NULL	NULL	BARABANKI ALLIANCE	UTTAR PRADESH	NORTH
166	1	NULL	NULL	JABALPUR	MADHYA PRADESH	WEST
167	1	NULL	NULL	PATNA ALLIANCE	BIHAR	NORTH
168	1	NULL	NULL	Talegaon	Maharashtra	West
169	1	NULL	NULL	Udaipur	RAJASTHAN	NORTH
170	1	NULL	NULL	Nagpur	Maharashtra	West
171	1	NULL	NULL	Ghaziabad	Uttar Pradesh	North
172	1	NULL	NULL	Lucknow	Uttar Pradesh	North
173	1	NULL	NULL	GHAZIABAD	Uttar Pradesh	North
174	1	NULL	NULL	Jalandhar	Punjab	North
175	1	NULL	NULL	Mysore	Karnataka	South
176	1	NULL	NULL	Jaipur	Rajasthan	North
177	1	NULL	NULL	Agra	Uttar Pradesh	North
178	1	NULL	NULL	Pune	Maharashtra	West
179	1	NULL	NULL	Ahmedabad	Gujarat	West
180	1	NULL	NULL	Jodhpur	Gujarat	North
181	1	NULL	NULL	Uruli Kanchan	Maharashtra	West
182	1	NULL	NULL	B N  Reddy Nagar	Hydrabad	South
183	1	NULL	NULL	Ludhiana	Punjab	North
184	1	NULL	NULL	ZIRAKPUR	Punjab	North
185	1	NULL	NULL	KANPUR	Uttar Pradesh	North
186	1	NULL	NULL	Bhopal	Madhya Pradesh	West
187	1	NULL	NULL	Behala	West Bengal	East
188	1	NULL	NULL	Hosur	Tamil Nadu	South
189	1	NULL	NULL	Gurgaon	Haryana	North
190	1	NULL	NULL	Siliguri	West Bengal	East
191	1	NULL	NULL	Vijayanagara	Karnataka	South
192	1	NULL	NULL	Kolkata	West Bengal	East
