name	category	isActive	businessUnit	employer_id	code
ROYAL INFRACONSTRU LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjvUAE	64455
ROYAL INTERNATIONAL SHARES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjwUAE	64456
ROYAL JORDANIAN	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjxUAE	64457
ROYAL KPN	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjyUAE	64458
ROYAL LACES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WjzUAE	64459
ROYAL MAIL HOLDINGS	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk0UAE	64460
ROYAL NEPAL AIRLINES CORPORATION	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk1UAE	64461
ROYAL ORCHID HOTELS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk2UAE	64462
ROYAL PHILIPS ELECTRONICS	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk3UAE	64463
ROYAL PTT NEDERLAND	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk4UAE	64464
ROYAL SPLENDOUR DEVELOPERS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk5UAE	64465
ROYAL STAR JEWELLERY LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk6UAE	64466
ROYAL STERLING (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk7UAE	64467
ROYAL SUNDARAM GENERAL INS CO LIMIT	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk8UAE	64468
ROYLE EXTRUSION SYSTEMS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wk9UAE	64469
RP TECHSOFT INTERNATIONAL PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WkAUAU	64470
RP TELEBUY SKYSHOP P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WkBUAU	64471
RPC DATA (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WkCUAU	64472
RPG CABLES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WkDUAU	64473
RPG CELLUCOM (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wx8UAE	64474
RPG CELLULAR SERVICES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005Wx9UAE	64475
RPG LIFE SCIENCES LTD	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxAUAU	64476
RPG POLYCHEM LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxBUAU	64477
RPG TRANSMISSION	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxCUAU	64478
RPK (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxDUAU	64479
RPP ENGINEERING AND CONSULTING P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxEUAU	64480
RPS INFRA STRUCTURE LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxFUAU	64481
RR DONELLY PUBLSHING (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxGUAU	64482
RR DONNELLEY (I) OUTSOURCE PVT LTD	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxHUAU	64483
RR FINANCIAL CONSULTANTS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxIUAU	64484
RR KABEL LTD	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxJUAU	64485
RR ROADWAYS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxKUAU	64486
RRB ENERGY LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxLUAU	64487
RRB MASTER SECURITIES DELHI LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxMUAU	64488
RRL STEELS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxNUAU	64489
RROOT SHELL TECHNOLOGIS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxOUAU	64490
RS BHARGAVA PHARMACY PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxPUAU	64491
RS SOFTWARE (I) LTD	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxRUAU	64493
RS WINDLASS	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxSUAU	64494
RS WINDTECH ENGINEERS PVT LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxTUAU	64495
RSA ACTUARIAL SERVICES (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxUUAU	64496
RSA SECURITIES (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxVUAU	64497
RSB INFRASTRUCTURE LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxWUAU	64498
RSB SYSTEMS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxXUAU	64499
RSB TRANSMISSION LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxYUAU	64500
RSH DISTRIBUTION I PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxZUAU	64501
RSM ASTUTE CONSULTING PVT LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxaUAE	64502
RSM PHARMA PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxbUAE	64503
RSP DESIGN CONSULTANTS (I)	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxcUAE	64504
RSPL LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxdUAE	64505
RST WEB SOLUTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxeUAE	64506
RSWM LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxfUAE	64507
RT MEDIBUS TECHNOLOGIES (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxgUAE	64508
RTC LOGISTICS P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxhUAE	64509
RTC RESTAURANTS (I) LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxiUAE	64510
RTG SHARE BROKING LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxjUAE	64511
RUBAMIN LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxkUAE	64512
RUBFILA INTERNATIONAL LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxlUAE	64513
RUBY MILLS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxmUAE	64514
RUBY RUSHY	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxnUAE	64515
RUBY TEXTILE MACHINES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxoUAE	64516
RUCHA TECHNOLOGIES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxpUAE	64517
RUCHI ACRONI INDUSTRIES LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxqUAE	64518
RUCHI GLOBAL LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005WxrUAE	64519
RUCHI INFOTECH LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4JUAU	64520
RUCHI INFRASTRUCTURE LTD	CAT B	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4KUAU	64521
RUCHI SOYA INDUSTRIES LTD	CAT A	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4LUAU	64522
RUCHI STRIPS AND ALLOYS LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4MUAU	64523
RUCKUS WIRELESS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4NUAU	64524
RUD (I) CHAIN PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4OUAU	64525
RUDRA REAL ESTATE LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4PUAU	64526
RUDRAKSHA TECHNOLOGY PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4QUAU	64527
RUDRANEE INFRASTRUCTURE LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4RUAU	64528
RUGBY PHARMA PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4SUAU	64529
RUHLAMAT AUTOMATION TECH (I) P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4TUAU	64530
RUIA SONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4UUAU	64531
RUKSHMANI SYNTEX PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4VUAU	64532
