id	branch	branch_code	location_code	node	created_at	updated_at
22	Bhel	754	L754	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
23	Ludhiana	27	L27	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
24	Baroda	16	L16	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
25	Faridabad	6	L6	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
26	Dehradun	32	L32	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
27	Surat	20	L20	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
28	Kolhapur	59	L59	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
29	Zirakpur	592	L592	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
30	Kanpur	39	L39	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
31	CHENNAI	3	L3	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
32	Talegaon	680	L680	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
33	Guntur	553	L553	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
34	Hyderabad	7	L7	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
35	Ajmer	34	L34	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
36	Chinchwad	751	L751	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
37	Noida	51	L51	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
38	Rajkot	17	L17	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
39	Guwahati	55	L55	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
40	Suchitra	743	L743	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
41	Vijayawada	60	L60	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
42	Ahmedabad	15	L15	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
43	Chandigarh	26	L26	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
44	Udaipur	11	L11	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
45	Dewas	752	L752	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
46	Behala	755	L755	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
47	Siliguri	54	L54	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
48	Raipur	25	L25	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
49	Gurgaon	53	L53	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
50	B N  Reddy Nagar	745	L745	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
51	Hosur	677	L677	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
52	Thane	707	L707	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
53	Tambaram	678	L678	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
54	Uppal	591	L591	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
55	Agra	99	L99	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
56	Nashik	19	L19	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
57	Panvel	589	L589	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
58	Peenya	590	L590	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
59	Uttam Nagar	750	L750	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
60	Hubli	58	L58	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
61	Pithampur	791	L791	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
62	Ranchi	56	L56	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
63	Andheri	9	L9	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
64	Salem	287	L287	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
65	Durgapur	101	L101	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
66	Virar	740	L740	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
67	Ambala	38	L38	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
68	Bikaner	679	L679	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
69	Jamshedpur	98	L98	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
70	Patiala	29	L29	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
71	Yamunanagar	50	L50	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
72	Rajahmundry	584	L584	branch_locator	2018-09-12 13:51:05	2018-09-12 13:51:05
